Differential gene expression in whole lung bulk RNA-seq data of three replicates of young (3 months) and old mice (22 months),ID,baseMean,gene name,log2FoldChange [old/young],lfcSE,stat,pvalue,padj,Old_1,Old_2,Old_3,young_1,young_2,young_3
,ENSMUSG00000096768,41.58297248,Gm47283,4.355442434,2.110224752,2.063970878,NA,NA,0.853003669,0.695797558,236.3347135,1.349545172,5.510038259,4.754736732
,ENSMUSG00000076612,4748.399422,Ighg2c,4.339976076,1.674829092,2.591294895,NA,NA,16944.91788,5487.059539,4717.775979,1300.961546,20.66264347,19.01894693
,ENSMUSG00000093838,37.08794865,Ighv3-1,4.321955039,1.624281233,2.660841578,0.007794562,0.021858149,52.03322379,151.6838676,8.175100153,9.446816206,0,1.188684183
,ENSMUSG00000095197,36.47569798,Ighv1-59,4.321010958,0.876546217,4.929587139,8.24E-07,7.38E-06,38.38516509,144.725892,25.26849138,8.097271034,0,2.377368366
,ENSMUSG00000076586,103.1676509,Igkv8-21,4.310426685,0.661793781,6.513247497,7.35E-11,1.77E-09,55.44523847,104.3696336,429.5643535,8.097271034,9.642566953,11.88684183
,ENSMUSG00000027400,4.817343084,Pdyn,4.309261349,1.616188229,2.666311554,0.007668859,0.021567661,4.265018344,4.870582903,18.57977307,0,0,1.188684183
,ENSMUSG00000076563,275.3457449,Igkv5-48,4.29491008,0.738801914,5.813344549,6.12E-09,9.62E-08,204.7208805,831.4780813,535.8406555,40.48635517,11.02007652,28.52842039
,ENSMUSG00000059291,4873.802095,Rpl11,4.257460904,1.460179134,2.915711372,NA,NA,622.6926782,821.041118,26346.11822,441.3012713,486.2608764,525.3984088
,ENSMUSG00000008682,8782.745447,Rpl10,4.216833069,1.539232821,2.739568056,NA,NA,1085.87367,882.9671006,48038.37488,744.9489351,1055.172327,889.1357688
,ENSMUSG00000069720,4.409529261,4930572O03Rik,4.174169902,3.914807524,1.06625163,0.286309909,0.417123801,0,0,25.26849138,0,0,1.188684183
,ENSMUSG00000076614,631.2041637,Ighg1,4.162756214,0.826178832,5.038565566,4.69E-07,4.46E-06,1415.98609,1735.319109,435.5098809,129.5563365,39.94777738,30.90578876
,ENSMUSG00000076227,2.131522747,Gm25593,4.154625964,1.907192905,2.178398396,0.029376389,0.067275313,3.412014675,4.174785346,5.202336461,0,0,0
,ENSMUSG00000095753,277.4078152,Igkv4-53,4.146706835,0.71837842,5.772315423,7.82E-09,1.19E-07,634.6347295,363.2063251,577.4593472,60.72953275,16.53011478,11.88684183
,ENSMUSG00000097464,11.58558755,Gm26736,4.125693255,1.210095936,3.409393529,0.000651075,0.002557596,7.677033019,17.39493894,40.87550076,0,0,3.566052549
,ENSMUSG00000095571,261.0671065,Ighv5-17,4.119887644,1.134107047,3.632714967,0.000280455,0.001234256,59.71025681,1095.881153,325.5176243,47.23408103,26.17268173,11.88684183
,ENSMUSG00000005716,4.236242264,Pvalb,4.09809769,1.563270531,2.621489761,0.008754639,0.02415219,11.08904769,6.262178018,6.688718307,0,1.377509565,0
,ENSMUSG00000095429,15.91581867,Ighv5-12,4.097171877,0.916131115,4.472254908,7.74E-06,5.31E-05,25.59011006,36.181473,28.24125507,1.349545172,4.132528694,0
,ENSMUSG00000079053,2.0496564,Gm14010,4.095003286,1.962984507,2.086110853,0.036968583,0.081034933,4.265018344,2.087392673,5.945527384,0,0,0
,ENSMUSG00000038717,1303.500061,Atp5l,4.087087679,1.390237218,2.939849134,NA,NA,241.4000382,272.7526426,6872.286465,99.86634275,134.9959373,199.6989427
,ENSMUSG00000094164,35.66825069,Ighv2-3,4.083372135,0.781651858,5.224029204,1.75E-07,1.86E-06,32.41413941,87.67049226,81.75100153,10.79636138,1.377509565,0
,ENSMUSG00000094491,26.87075999,Igkv1-133,4.073592389,0.928742805,4.38613615,1.15E-05,7.56E-05,14.50106237,116.8939897,20.80934584,2.699090345,2.75501913,3.566052549
,ENSMUSG00000095630,345.6861341,Igkv6-23,4.061998993,0.379561652,10.70181608,9.98E-27,5.86E-24,742.9661955,835.6528667,378.2841798,62.07907792,20.66264347,34.4718413
,ENSMUSG00000020738,512.2019238,Sumo2,4.047586272,1.613083856,2.50922248,NA,NA,35.82615409,52.88061438,2809.261689,52.63226172,61.98793041,60.62289333
,ENSMUSG00000029618,1.955255556,Ocm,4.033753532,2.003387067,2.013466893,0.044065535,0.093777596,1.706007337,5.566380461,4.459145538,0,0,0
,ENSMUSG00000076609,35321.88475,Igkc,4.020399819,0.745098541,5.395796124,6.82E-08,8.13E-07,74822.06981,72082.53957,52724.93684,8247.070548,1925.758372,2128.933372
,ENSMUSG00000052477,182.2419711,C130026I21Rik,4.011388723,0.391324554,10.25079742,1.17E-24,4.64E-22,300.2572914,215.6972429,513.5449278,16.19454207,27.5501913,20.20763111
,ENSMUSG00000094694,110.8286957,Ighv1-9,3.990597252,0.458003985,8.713018622,2.96E-18,3.41E-16,315.6113574,132.8973335,176.8794397,20.24317758,11.02007652,8.32078928
,ENSMUSG00000078815,1.886296775,Cacng6,3.977456228,2.034963635,1.954558873,0.05063516,0.105109027,4.265018344,5.566380461,1.486381846,0,0,0
,ENSMUSG00000086718,1.881288103,Gm16069,3.974513196,2.009603716,1.977759677,0.047955824,NA,2.559011006,2.78319023,5.945527384,0,0,0
,ENSMUSG00000046323,1.862985979,Dppa3,3.9618131,2.052811009,1.929945369,0.053613607,NA,1.706007337,2.78319023,6.688718307,0,0,0
,ENSMUSG00000022226,1.862985979,Mcpt2,3.9618131,2.052811009,1.929945369,0.053613607,NA,1.706007337,2.78319023,6.688718307,0,0,0
,ENSMUSG00000082976,1.862227024,Gm15056,3.953978612,2.423506475,1.63151147,0.102782442,NA,5.971025681,0,5.202336461,0,0,0
,ENSMUSG00000076615,194.1059241,Ighg3,3.920870058,1.002525986,3.910990949,9.19E-05,0.000466962,294.2862657,590.7321264,207.3502675,56.68089724,9.642566953,5.943420914
,ENSMUSG00000076710,1.814833658,Ighv1-49,3.917670219,2.127977956,1.841029513,0.065617234,NA,5.971025681,4.174785346,0.743190923,0,0,0
,ENSMUSG00000043753,20.47520861,Dmrta1,3.884392231,0.805414928,4.822846086,1.42E-06,1.19E-05,41.79717977,48.01003147,25.26849138,5.398180689,0,2.377368366
,ENSMUSG00000021278,1.765321844,Amn,3.881954465,2.063087327,1.881623921,0.059887096,NA,2.559011006,2.087392673,5.945527384,0,0,0
,ENSMUSG00000000740,5619.015059,Rpl13,3.880182136,1.338296066,2.899345095,NA,NA,998.8672961,1493.181559,29078.08805,726.0553027,588.1965841,829.7015597
,ENSMUSG00000076541,58.8714886,Igkv4-79,3.875512711,1.35618046,2.857667415,NA,NA,293.433262,20.87392673,16.35020031,13.49545172,5.510038259,3.566052549
,ENSMUSG00000095682,54.34130935,Igkv3-1,3.873905935,0.743191087,5.212530132,1.86E-07,1.97E-06,145.8636274,137.0721188,22.29572769,13.49545172,1.377509565,5.943420914
,ENSMUSG00000059042,1.744129497,Klk1b9,3.865787217,2.082358858,1.856446213,0.063389983,NA,3.412014675,5.566380461,1.486381846,0,0,0
,ENSMUSG00000090778,20.12863822,Gm3235,3.859916162,0.843989936,4.573414918,4.80E-06,3.48E-05,15.35406604,50.7932217,46.82102815,4.048635517,1.377509565,2.377368366
,ENSMUSG00000076497,3.589703922,Trbj2-7,3.852797,1.626218815,2.369175024,0.017827815,0.044186357,4.265018344,6.262178018,9.661481999,1.349545172,0,0
,ENSMUSG00000096670,3.588944967,Ighv2-6,3.84595353,1.634722059,2.352665096,0.018639413,0.045886464,8.530036687,3.478987788,8.175100153,1.349545172,0,0
