,HSC 1,HSC 2,HSC 3,HSC 4,HSC 5,HSC 6,MPPa 1,MPPa 2,MPPa 3,MPPa 4,MPPa 5,MPPa 6,MPPb 1,MPPb 2,MPPb 3,MPPb 4,MPPb 5,MPPb 6,MPPc 1,MPPc 2,MPPc 3,MPPc 4,MPPc 5,MPPc 6,CLP 1,CLP 2,CLP 3,CLP 4,CLP 5,CLP 6,CMP 1,CMP 2,CMP 3,CMP 4,CMP 5,CMP 6,MEP 1,MEP 2,MEP 3,MEP 4,MEP 5,MEP 6,GMP 1,GMP 2,GMP 3,GMP 4,GMP 5,GMP 6,Old HSC 1,Old HSC 2,Old HSC 3,Old HSC 4,Old HSC 5,Old HSC 6,Old MPPa 1,Old MPPa 2,Old MPPa 3,Old MPPa 4,Old MPPb 1,Old MPPb 2,Old MPPb 3,Old MPPb 4,Old MPPc 1,Old MPPc 2,Old MPPc 3,Old MPPc 4
Bms1,0,195.206258,0,0,25.27914057,90.12049036,265.8047197,129.9247601,23.75371275,41.60733693,76.21210904,62.00560049,28.48512178,35.6904197,175.1573114,112.4461632,11.65687103,40.87154656,45.29958156,77.36622508,177.2546765,119.2578795,39.3092028,30.34956426,89.88094855,80.58736928,77.46752849,55.73907525,22.73841345,68.64370262,122.0004148,134.2827225,193.7842733,93.99389186,56.8863958,15.24737228,166.2658306,155.3417162,86.2529183,78.77490501,96.1078584,90.41668718,90.94671798,163.8904383,185.5684843,175.9130279,238.6304573,101.1214132,75.79687953,105.11261,98.34509198,62.41297422,31.45578988,38.850757,87.75632324,92.26627136,65.59507246,72.18551513,113.1840295,71.57851409,71.76632114,46.22447022,73.04803789,47.98531212,37.67109076,47.33644286
Bnc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.83414197,0,0,0,158.7377088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2199102,0,92.50553394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bnip1,0,0,0,0,31.0466231,0,0,0,0,50.91278386,0,54.18188714,27.63095093,0,72.15215541,99.76856146,19.15617059,57.27380511,65.99369067,0,68.90692156,13.47032125,39.93655168,41.37884861,0,0,28.49697442,0,0,0,65.77794724,0,34.56719365,44.62326755,54.77151947,26.99983627,139.1372568,147.2126974,59.37341019,0,46.56188409,31.7758798,110.0669298,20.67539781,71.61563173,69.85312295,28.85376235,61.75564453,0,0,36.77601104,47.37738377,33.64912605,62.28869574,74.20030362,74.69657412,33.78645724,40.31551974,0,0,49.21796453,20.88669024,0,0,78.89800736,50.34837347
Bnip3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.32459717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bnip3l,0,0,0,0,0,0,0,0,57.44860739,85.25802049,33.09995536,39.52262387,10.76585656,0,57.60577798,89.09838627,6.556985804,0,0,0,48.02731717,104.8648191,10.24652135,7.854722849,0,0,0,0,0,0,66.37165517,0,0,0,0,23.17813225,21.62258535,0,0,0,18.86183642,13.11966429,0,0,0,0,0,21.10399357,0,0,0,10.75617029,0,23.37457527,0,0,29.13806427,5.56571182,0,0,37.66633886,58.71813609,0,0,8.06822857,0
Bod1,0,0,0,0,0,0,0,0,0,0,0,0,6.287270542,0,11.98846818,7.759496546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bod1l,0,0,0,0,132.7407929,572.9397984,570.1642287,884.6873814,387.0886999,684.5429472,216.6888471,259.0177527,263.6931641,210.2607162,344.5730291,252.7544221,300.2794188,183.2115929,342.3591831,269.697853,498.6738407,653.9531265,133.2930252,238.5231082,1389.955393,1460.295427,249.5169703,234.7167697,464.8248967,251.270518,625.1144901,590.4365193,426.5129601,440.6990029,104.437212,278.1348609,717.5628592,497.3131729,374.0882183,592.9999794,278.8092762,256.8896496,204.5789356,499.5127193,381.5876912,389.3146845,440.754958,148.4694061,303.0829946,202.9345564,210.1708011,247.1749275,101.0434762,162.0300887,389.6424388,517.6764133,190.9538215,326.4668747,975.6809595,977.2291734,269.4712421,283.5624443,227.903694,316.1014469,227.356821,205.5518092
Bola1,40.9811128,88.03757698,229.3648087,0,114.1823475,122.1368034,297.2699159,93.15204807,146.801444,137.5742799,105.068648,206.1280052,170.3313157,89.73096724,172.9859486,151.1138446,75.45953357,82.45038067,147.3883632,93.19489236,125.6693753,139.3323951,105.6384132,85.39946403,166.4709793,217.9763274,163.9808024,192.1610245,196.1755745,143.2274293,127.4383615,99.74947151,203.1788684,115.810972,129.601228,141.8372714,142.4899246,199.4023537,86.73488818,198.7150312,127.7841429,84.75217252,122.10511,142.9879256,81.19601869,95.08546623,231.2946716,151.426649,124.3737846,187.5839117,64.29111284,37.5865753,147.8449495,106.3792669,156.0474075,101.1738251,80.41945884,42.55947005,98.34546487,68.80929654,135.0554079,89.59516235,124.0277835,188.764062,173.9801636,158.9243001
Bola2,0,0,113.0184088,159.3320877,288.4401014,128.2459165,38.29983196,81.15025695,276.117625,311.3924548,126.1975781,138.9569172,31.23639742,0,93.80319489,91.39151967,60.31838118,97.93963146,90.44453244,50.65004488,159.1660405,201.5102844,93.93621825,108.6615892,78.23480326,121.1911708,129.0045461,146.0319791,51.10622255,100.9890634,159.646156,121.4193,90.72979212,116.4867369,193.2144893,322.1018363,97.38143192,86.04213299,0,45.09515074,89.32356609,123.668483,79.98980726,128.7742805,86.48591848,132.9323551,105.3584521,185.9845435,0,0,114.4480931,200.9690339,91.70895806,97.85137107,142.7095674,155.7222277,98.49205729,209.4280847,143.6871273,92.57136704,156.9802366,258.6560985,143.8241502,98.18790898,116.0546736,103.5797713
Bola3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.05931604,0,0,0,0,0,0,0,0,0,15.24089278,56.10364526,0,0,0,0,0,0,18.6081524,0,0,0
