Spot ID,ET10 vs ST12,ET10 vs ET14,ET10 vs ET16,ET10 vs ET18,ET10 vs NB,ET10 vs 1w,ET10 vs 2w,ET10 vs 4w,ET 10 vs 8w,ET10 vs 14w,ET10 vs 22w,ET10 vs 42w,ET10 vs 75w,ET10 vs 100w,ET12 vs ET14,ET12 vs ET16,ET12 vs ET18,ET12 vs NB,ET12 vs 1w,ET12 vs 2w,ET12 vs 4w,ET 12 vs 8w,ET12 vs 14w,ET12 vs 22w,ET12 vs 42w,ET12 vs 75w,ET12 vs 100w,ET14 vs ET16,ET14 vs ET18,ET14 vs NB,ET14 vs 1w,ET14 vs 2w,ET14 vs 4w,ET 14 vs 8w,ET14 vs 14w,ET14 vs 22w,ET14 vs 42w,ET14 vs 75w,ET14 vs 100w,ET16 vs ET18,ET16 vs NB,ET16 vs 1w,ET16 vs 2w,ET16 vs 4w,ET 16 vs 8w,ET16 vs 14w,ET16 vs 22w,ET16 vs 42w,ET16 vs 75w,ET16 vs 100w,ET18 vs NB,ET18 vs 1w,ET18 vs 2w,ET18 vs 4w,ET 18 vs 8w,ET18 vs 14w,ET18 vs 22w,ET18 vs 42w,ET18 vs 75w,ET18 vs 100w,NB vs 1w,NB vs 2w,NB vs 4w,NB vs 8w,NB vs 14w,NB vs 22w,NB vs 42w,NB vs 75w,NB vs 100w,1w vs 2w,1w vs 4w,1w vs 8w,1w vs 14w,1w vs 22w,1w vs 42w,1w vs 75w,1w vs 100w,2w vs 4w,2w vs 8w,2w vs 14w,2w vs 22w,2w vs 42w,2w vs 75w,2w vs 100w,4w vs 8w,4w vs 14w,4w vs 22w,4w vs 42w,4w vs 75w,4w vs 100w,8w vs 14w,8w vs 22w,8w vs 42w,8w vs 75w,8w vs 100w,14w vs 22w,14w vs 42w,14w vs 75w,14w vs 100w,22w vs 42w,22w vs 75w,22w vs 100w,42w vs 75w,42w vs 100w,75w vs 100w
277,,0.000 ,,,,,,0.032 ,0.045 ,0.000 ,,0.000 ,,,0.019 ,,,,,,,,0.002 ,,0.004 ,,,0.000 ,,0.000 ,,0.041 ,0.001 ,,0.001 ,0.010 ,0.012 ,0.000 ,0.022 ,,,,,,,0.000 ,,0.000 ,,,,,,,,0.012 ,,0.024 ,,,,,,0.037 ,0.000 ,,0.000 ,,,,,,0.032 ,,,,,,,0.004 ,,0.009 ,,,,0.000 ,,0.000 ,,,0.016 ,,0.031 ,0.021 ,,0.002 ,0.030 ,0.000 ,0.002 ,0.004 ,,,0.000 ,0.004 ,
302,,,0.000 ,,,,,0.043 ,,0.000 ,,0.002 ,0.019 ,,,0.027 ,,0.022 ,,,0.048 ,,0.018 ,,,0.002 ,,0.003 ,,,,,,,0.002 ,,0.012 ,0.014 ,,,0.000 ,,0.008 ,0.001 ,0.010 ,,0.025 ,,0.000 ,0.020 ,,,,,,,,,0.028 ,,,,,,0.000 ,,0.001 ,,,,,,,,,,,,,0.005 ,,0.023 ,0.003 ,,,0.001 ,,0.003 ,,,0.008 ,,0.019 ,,,0.021 ,,0.000 ,0.015 ,0.038 ,,,0.001 ,0.038 ,
303,0.033 ,0.002 ,0.000 ,0.008 ,0.006 ,,0.000 ,0.002 ,0.001 ,0.000 ,,0.000 ,0.004 ,0.005 ,,,,,,,,,,,,,,0.005 ,,0.018 ,,,,,0.003 ,,0.005 ,0.009 ,,0.045 ,0.000 ,,0.010 ,0.000 ,,0.012 ,0.018 ,,0.000 ,0.002 ,0.032 ,,,,,0.028 ,,0.047 ,0.024 ,,,0.000 ,,0.001 ,0.000 ,,0.000 ,,,,,,,,,,,0.010 ,,0.004 ,0.024 ,0.011 ,0.000 ,0.015 ,0.026 ,0.000 ,,0.001 ,0.046 ,,,,,0.000 ,0.031 ,0.013 ,,0.000 ,0.001 ,0.019 ,,,0.000 ,0.003 ,
351,,0.001 ,0.001 ,0.002 ,0.000 ,0.022 ,0.000 ,0.005 ,0.001 ,0.001 ,0.008 ,0.005 ,0.000 ,0.000 ,0.003 ,0.026 ,0.047 ,0.029 ,,0.000 ,,0.029 ,0.008 ,,,0.010 ,0.015 ,0.006 ,0.034 ,0.001 ,0.011 ,0.000 ,0.014 ,0.006 ,0.043 ,0.015 ,0.047 ,0.004 ,0.000 ,,,,0.000 ,,,0.017 ,,,,0.023 ,,,0.000 ,,,,,,,,,0.000 ,,,0.004 ,,,,,0.000 ,,,0.023 ,,,,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,0.038 ,,,,,0.017 ,,,,0.031 ,0.037 ,,0.028 ,0.001 ,,,,,,
355,0.049 ,0.007 ,0.000 ,,0.000 ,,0.000 ,,0.000 ,0.002 ,,0.004 ,0.005 ,0.019 ,,0.003 ,,,,0.000 ,,,,,,,,0.000 ,,0.027 ,,0.000 ,,,0.030 ,,,,,,0.000 ,0.007 ,0.001 ,0.008 ,0.000 ,0.027 ,0.008 ,0.008 ,0.001 ,0.001 ,,,0.003 ,,,,,,,,,0.000 ,,,,,,,,0.000 ,,,,,,,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,,,,,,,,,,,,,0.048 ,0.042 ,,,,,,
374,,,0.003 ,,0.010 ,,0.000 ,,,0.003 ,,,,,,0.001 ,,0.044 ,,0.000 ,0.013 ,0.001 ,0.000 ,0.001 ,0.002 ,0.005 ,0.019 ,0.002 ,,0.008 ,,0.000 ,,0.049 ,0.002 ,,,,,,0.035 ,,0.011 ,0.000 ,0.000 ,0.000 ,0.002 ,0.000 ,0.001 ,0.002 ,,,,,,0.003 ,,,,0.047 ,,,0.002 ,0.000 ,0.000 ,0.001 ,0.001 ,0.001 ,0.003 ,0.017 ,,,0.015 ,,,,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,0.002 ,,,,,0.009 ,,,,,0.037 ,0.003 ,0.002 ,0.005 ,,,,,,
375,0.040 ,0.031 ,0.029 ,0.010 ,0.015 ,,0.000 ,,,0.035 ,0.044 ,,0.016 ,0.010 ,0.030 ,0.025 ,,,,0.001 ,,0.009 ,0.043 ,,,,,,,0.030 ,,,,0.000 ,,,0.048 ,0.010 ,0.003 ,,0.023 ,0.046 ,,0.035 ,0.000 ,,,0.042 ,0.007 ,0.002 ,,0.049 ,0.027 ,,0.001 ,,,,,0.029 ,,0.001 ,,0.001 ,,,,,,0.001 ,,,,,,,,0.003 ,0.000 ,,0.018 ,0.001 ,0.000 ,0.000 ,0.001 ,,,,,,0.000 ,0.001 ,0.036 ,0.000 ,0.000 ,,,0.018 ,0.005 ,,,0.015 ,,,
406,,,0.007 ,0.038 ,0.047 ,0.007 ,0.007 ,0.005 ,,,,,,,,0.007 ,0.002 ,0.037 ,0.012 ,0.000 ,0.003 ,0.024 ,,,,,,0.041 ,,,,0.019 ,0.025 ,,,,,,0.003 ,,,,,,,,0.008 ,0.011 ,0.002 ,0.000 ,0.026 ,,,,,,,0.032 ,0.003 ,0.000 ,,0.009 ,,,,,0.031 ,0.007 ,0.000 ,,,,,0.003 ,0.013 ,0.003 ,0.000 ,,,0.023 ,0.019 ,0.005 ,0.000 ,0.000 ,,,0.006 ,0.008 ,0.001 ,0.000 ,,,,0.010 ,0.000 ,,,,0.004 ,,0.038 ,0.001 ,,,
416,,,,,,,0.026 ,0.006 ,0.003 ,,,,,0.000 ,,,,,0.010 ,0.001 ,0.000 ,0.000 ,,0.005 ,0.007 ,0.004 ,0.000 ,,,,,0.019 ,0.001 ,0.000 ,,0.028 ,0.030 ,0.042 ,0.000 ,,,,0.032 ,0.000 ,0.000 ,,,,,0.000 ,,0.038 ,0.004 ,0.000 ,0.000 ,,0.042 ,,0.011 ,0.000 ,,0.009 ,0.002 ,0.000 ,,,,0.022 ,0.000 ,,,,,,,,0.002 ,,,,,,,,,,0.023 ,0.018 ,,0.004 ,0.026 ,0.007 ,0.005 ,,0.021 ,,,,0.000 ,,,0.000 ,,0.000 ,
442,,0.029 ,0.029 ,,0.025 ,0.009 ,0.003 ,0.009 ,,,,,0.023 ,,0.002 ,0.001 ,,0.001 ,0.001 ,0.000 ,0.001 ,0.030 ,,0.028 ,0.025 ,0.001 ,0.023 ,,,,,,,,0.015 ,,,,0.016 ,,,,,,,0.021 ,,,,0.006 ,0.022 ,,,,,,,,,,,0.036 ,,0.047 ,0.026 ,0.044 ,,0.015 ,0.000 ,,,0.031 ,0.001 ,0.007 ,,,0.005 ,,0.024 ,0.003 ,0.018 ,,,0.000 ,0.028 ,0.003 ,0.010 ,,,0.003 ,,,,,,0.034 ,,0.020 ,,,,,,,0.017 
514,,,0.043 ,,,0.000 ,0.000 ,0.000 ,0.000 ,0.030 ,0.004 ,0.000 ,0.000 ,0.000 ,,0.011 ,0.004 ,0.012 ,0.000 ,0.000 ,0.000 ,0.000 ,0.004 ,0.000 ,0.000 ,0.000 ,0.000 ,0.023 ,0.005 ,0.012 ,0.003 ,,0.003 ,0.003 ,0.018 ,0.006 ,0.003 ,0.000 ,0.000 ,,,0.001 ,0.000 ,0.001 ,0.001 ,,0.016 ,0.000 ,0.000 ,0.001 ,,0.008 ,0.000 ,0.012 ,0.005 ,,0.030 ,0.009 ,0.001 ,0.001 ,0.043 ,0.000 ,,0.029 ,,,0.045 ,0.009 ,0.009 ,0.000 ,,,0.004 ,,,,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,0.006 ,,,,,0.004 ,,,,,0.043 ,0.004 ,0.000 ,0.006 ,,,,,,
520,,0.031 ,0.018 ,0.000 ,0.001 ,0.001 ,0.010 ,0.000 ,0.006 ,,0.000 ,0.000 ,0.000 ,0.000 ,,0.042 ,0.001 ,0.003 ,0.011 ,0.006 ,0.002 ,0.033 ,,0.002 ,0.003 ,0.000 ,0.000 ,,0.001 ,0.044 ,0.002 ,,0.000 ,0.042 ,0.002 ,0.000 ,0.000 ,0.000 ,0.000 ,0.015 ,,0.038 ,,0.001 ,,0.003 ,0.001 ,0.004 ,0.001 ,0.000 ,0.011 ,,0.001 ,0.001 ,0.017 ,0.000 ,0.001 ,0.006 ,0.011 ,0.000 ,0.038 ,,0.000 ,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.007 ,0.001 ,0.017 ,0.000 ,0.001 ,0.007 ,0.022 ,0.000 ,0.000 ,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,,,,0.001 ,0.000 ,0.001 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,,,,,
524,0.023 ,0.000 ,0.010 ,0.003 ,0.000 ,0.008 ,0.032 ,0.000 ,0.006 ,0.000 ,,0.041 ,0.000 ,0.001 ,,,,,,0.000 ,,,0.001 ,,,,,0.029 ,,0.021 ,,0.000 ,0.018 ,,0.001 ,,0.008 ,,,,,,0.003 ,,,0.001 ,,,,,,,0.000 ,,,0.001 ,,,,,,0.000 ,,,0.000 ,,,,,0.002 ,,,0.002 ,,,,,0.001 ,0.002 ,0.000 ,0.008 ,0.007 ,0.000 ,0.000 ,,0.000 ,,0.041 ,,,0.002 ,,,,,0.046 ,0.000 ,0.000 ,0.001 ,,,,0.012 ,,
525,,0.000 ,0.000 ,0.011 ,0.000 ,0.010 ,0.001 ,0.001 ,,0.000 ,0.000 ,,0.005 ,0.001 ,0.025 ,,,,,0.000 ,,,0.004 ,,,,,0.011 ,,0.001 ,,0.000 ,0.001 ,0.000 ,0.000 ,0.014 ,0.002 ,0.007 ,0.040 ,,,,0.000 ,0.018 ,0.000 ,0.000 ,,0.007 ,,,,,0.000 ,,0.014 ,0.029 ,,0.044 ,,,,0.000 ,0.022 ,0.000 ,0.000 ,0.008 ,0.001 ,,,0.000 ,,0.013 ,0.029 ,,0.043 ,,,0.000 ,0.001 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.002 ,0.000 ,0.002 ,,,,0.000 ,0.000 ,,0.006 ,0.002 ,0.000 ,0.001 ,0.001 ,0.002 ,0.003 ,0.017 ,,0.046 ,0.011 ,
538,0.001 ,0.001 ,0.001 ,0.004 ,0.000 ,0.015 ,0.000 ,0.000 ,0.003 ,0.013 ,0.000 ,0.000 ,0.000 ,0.000 ,0.011 ,0.022 ,,0.003 ,,0.000 ,0.003 ,,0.000 ,0.002 ,0.000 ,0.000 ,0.000 ,,,,,0.000 ,,0.043 ,0.000 ,,0.026 ,,,,,,0.000 ,0.047 ,0.036 ,0.000 ,,0.001 ,,,,,0.000 ,,,0.000 ,,0.036 ,,,,0.000 ,0.009 ,0.007 ,0.000 ,0.008 ,0.000 ,0.025 ,,0.000 ,,,0.003 ,,,,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.007 ,0.000 ,,0.006 ,,,0.000 ,0.009 ,0.001 ,0.004 ,0.006 ,0.000 ,0.000 ,0.000 ,0.000 ,0.030 ,,,0.018 ,0.042 ,
539,,,,,,,0.000 ,0.014 ,0.023 ,,,,,0.027 ,,,,,,0.000 ,,,,,0.028 ,0.048 ,0.027 ,,,,,0.000 ,0.010 ,0.014 ,,,,,0.043 ,,,,0.000 ,0.008 ,0.011 ,,,,0.047 ,0.024 ,,,0.000 ,,,,,0.032 ,0.047 ,0.028 ,,0.000 ,0.014 ,,,,0.028 ,0.041 ,0.026 ,0.000 ,,,,,,,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,,,,,,,,,,,,,,,,,,,,
543,,0.024 ,,0.001 ,0.000 ,,0.001 ,,0.047 ,0.033 ,0.013 ,,,,,,,,,0.000 ,,,,,,,,,,,,0.000 ,,0.003 ,0.005 ,0.001 ,0.005 ,0.001 ,,,,,0.001 ,,,,,,,,,0.030 ,0.000 ,0.002 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.010 ,0.030 ,0.000 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.010 ,0.001 ,,,,,,,,0.000 ,0.001 ,0.002 ,0.002 ,0.001 ,0.000 ,0.000 ,0.018 ,0.019 ,0.007 ,0.047 ,0.022 ,,,,,,,,,0.038 ,,0.039 ,,,,,
556,0.041 ,0.014 ,0.001 ,,0.000 ,0.001 ,0.002 ,,,,0.001 ,0.008 ,,,,0.000 ,0.004 ,0.000 ,0.000 ,0.000 ,0.019 ,0.000 ,0.006 ,0.000 ,0.000 ,0.006 ,0.015 ,0.000 ,0.048 ,0.000 ,0.000 ,0.001 ,0.040 ,0.000 ,0.015 ,0.000 ,0.001 ,0.019 ,0.021 ,,0.001 ,,,0.002 ,0.001 ,0.001 ,,0.016 ,0.000 ,0.000 ,,,,,,,,,0.030 ,0.005 ,0.001 ,0.013 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,0.004 ,0.002 ,0.003 ,,0.029 ,0.001 ,0.000 ,0.004 ,0.003 ,0.004 ,0.046 ,0.018 ,0.000 ,0.000 ,,,0.007 ,0.040 ,,,,0.002 ,0.024 ,,,0.004 ,0.029 ,,,,0.003 ,0.000 ,0.035 ,0.004 ,
560,,,,0.011 ,0.011 ,,0.005 ,,,,,,0.011 ,0.002 ,,,,,,,,,,,,,,0.036 ,,,,0.002 ,,0.010 ,,,0.004 ,,,,0.001 ,0.010 ,,0.007 ,0.029 ,,0.003 ,0.001 ,0.003 ,,,,0.004 ,,0.011 ,,,0.003 ,,,,0.000 ,,0.000 ,0.008 ,,0.000 ,0.011 ,,0.001 ,,0.002 ,0.044 ,,0.000 ,,,0.001 ,0.025 ,,0.000 ,0.001 ,0.000 ,,0.001 ,0.033 ,,0.000 ,,,0.008 ,0.001 ,0.047 ,0.000 ,,0.015 ,0.001 ,,,0.000 ,0.046 ,,0.000 ,,
561,,0.001 ,,0.001 ,0.000 ,,0.000 ,0.000 ,,0.000 ,,,0.002 ,0.002 ,,,,,,0.015 ,,,,,0.033 ,,,,,,,0.002 ,,0.006 ,0.004 ,,0.006 ,,,,,,0.008 ,,,,,,,,,,0.016 ,,0.005 ,,,0.001 ,,,,0.000 ,0.043 ,0.000 ,0.001 ,,0.000 ,,,0.011 ,,,,,,,,0.014 ,0.000 ,,0.001 ,0.000 ,0.003 ,0.010 ,0.002 ,,,0.004 ,,,0.001 ,,,0.011 ,0.012 ,0.026 ,0.002 ,,,0.038 ,,,0.001 ,0.000 ,
564,,0.033 ,0.001 ,0.000 ,0.000 ,0.000 ,0.006 ,0.000 ,0.001 ,0.000 ,0.001 ,0.000 ,0.000 ,0.000 ,,0.004 ,0.000 ,0.000 ,0.000 ,0.001 ,0.002 ,0.002 ,0.000 ,0.001 ,0.000 ,0.000 ,0.000 ,0.009 ,0.000 ,0.000 ,0.000 ,,0.003 ,0.004 ,0.001 ,0.004 ,0.000 ,0.001 ,0.002 ,0.000 ,0.000 ,0.002 ,,,,0.003 ,,0.002 ,,0.018 ,,,0.008 ,0.000 ,0.000 ,,,,0.000 ,0.000 ,,0.005 ,0.000 ,0.000 ,,,,0.000 ,0.000 ,0.040 ,0.002 ,0.003 ,,,,0.000 ,0.000 ,,,0.043 ,,,,,,0.003 ,,0.001 ,,0.001 ,0.004 ,,0.002 ,,0.001 ,,,0.000 ,0.000 ,,0.006 ,0.000 ,0.000 ,0.000 ,0.010 
566,,,,,0.005 ,0.004 ,,0.002 ,0.000 ,0.001 ,0.014 ,0.000 ,0.048 ,,,,,0.023 ,,,,0.001 ,0.046 ,,0.031 ,,,,,0.041 ,0.020 ,,0.016 ,0.000 ,0.008 ,,0.003 ,,,,0.011 ,0.010 ,,0.007 ,0.000 ,0.004 ,,0.002 ,,,0.007 ,0.002 ,0.012 ,0.001 ,0.000 ,0.000 ,,0.000 ,,,,0.001 ,,0.000 ,,,0.031 ,,0.004 ,0.009 ,,0.000 ,,0.017 ,,,0.014 ,0.010 ,0.001 ,0.007 ,0.038 ,0.004 ,0.004 ,,0.000 ,,0.007 ,0.036 ,,0.015 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.002 ,,,0.010 ,0.000 ,,,0.020 ,0.006 ,0.013 
570,,,,,0.000 ,0.013 ,0.002 ,0.011 ,0.000 ,0.036 ,,0.006 ,,,0.044 ,,,0.004 ,0.047 ,0.000 ,,0.000 ,,,0.046 ,,0.013 ,,,0.001 ,0.020 ,0.003 ,0.021 ,0.000 ,0.032 ,,0.019 ,0.014 ,,,0.025 ,,0.003 ,,0.001 ,,,,,,0.000 ,0.006 ,0.000 ,0.007 ,0.000 ,0.026 ,,0.005 ,,0.027 ,,0.000 ,,0.000 ,0.037 ,0.000 ,,0.012 ,0.003 ,0.001 ,,0.000 ,,0.010 ,,,0.035 ,0.001 ,,0.001 ,0.002 ,0.001 ,0.000 ,0.000 ,0.000 ,,0.008 ,,,0.038 ,0.000 ,0.000 ,0.000 ,0.000 ,0.003 ,0.027 ,,,0.049 ,0.004 ,,,,0.036 ,0.011 
581,,0.018 ,,,0.002 ,,,,,,,,,,0.018 ,,0.019 ,0.000 ,0.009 ,,0.023 ,0.012 ,,,,0.004 ,0.044 ,0.043 ,0.000 ,0.000 ,0.005 ,,0.008 ,0.004 ,0.019 ,0.010 ,0.012 ,0.000 ,0.000 ,,0.017 ,,,,,,,,,,0.000 ,,0.024 ,,,,,,,,,0.002 ,,0.007 ,0.000 ,0.000 ,0.000 ,0.032 ,0.000 ,0.035 ,,,0.023 ,,0.048 ,,0.038 ,,0.045 ,,,,0.009 ,0.015 ,,,,,,,0.006 ,0.038 ,0.015 ,,,,,0.030 ,,,,,,,
586,,0.032 ,,,0.003 ,,0.000 ,,0.008 ,0.008 ,,0.009 ,,0.000 ,,0.045 ,0.004 ,0.000 ,0.003 ,0.000 ,0.005 ,0.000 ,0.000 ,0.006 ,0.000 ,0.001 ,0.000 ,0.015 ,0.001 ,0.000 ,0.005 ,0.000 ,0.007 ,0.002 ,0.002 ,0.007 ,0.002 ,0.001 ,0.000 ,,0.003 ,0.036 ,0.000 ,,0.002 ,0.003 ,,0.003 ,,0.000 ,0.000 ,0.021 ,0.000 ,,0.000 ,0.000 ,,0.000 ,0.037 ,0.000 ,,0.009 ,,,,0.047 ,,,,0.000 ,,,,,,,,0.000 ,0.004 ,,0.000 ,0.037 ,0.003 ,0.012 ,,0.040 ,,0.047 ,,0.025 ,,0.028 ,,,,0.026 ,,,,0.030 ,,0.016 ,,,
592,,0.006 ,0.000 ,0.000 ,0.000 ,0.003 ,,0.000 ,0.002 ,0.028 ,,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.013 ,0.000 ,0.000 ,0.001 ,0.003 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.002 ,0.020 ,,0.000 ,0.008 ,0.019 ,,0.001 ,0.005 ,0.000 ,,,0.011 ,,0.012 ,0.001 ,0.000 ,0.001 ,0.001 ,0.000 ,,,0.001 ,0.018 ,0.002 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,0.014 ,0.014 ,0.045 ,0.007 ,0.001 ,0.001 ,0.007 ,0.000 ,,,,,0.008 ,0.014 ,,,0.005 ,,,,,,,0.017 ,0.003 ,0.000 ,0.001 ,0.001 ,0.000 ,,0.002 ,0.013 ,,,0.001 ,,0.001 ,0.000 ,0.000 ,0.007 ,0.002 ,0.000 ,,0.001 ,0.000 
593,,0.008 ,0.000 ,0.000 ,0.000 ,0.000 ,,0.000 ,0.000 ,0.018 ,0.004 ,0.000 ,0.000 ,0.004 ,0.004 ,0.000 ,0.000 ,0.000 ,0.000 ,0.019 ,0.000 ,0.000 ,0.002 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,0.001 ,0.000 ,,0.037 ,0.000 ,0.000 ,,,0.010 ,0.005 ,0.000 ,0.003 ,,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.011 ,0.009 ,0.000 ,0.003 ,,0.000 ,0.000 ,0.002 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.004 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.008 ,,0.001 ,0.002 ,0.001 ,,0.001 ,0.005 ,0.026 ,0.000 ,,,0.029 ,0.020 ,,0.001 ,0.007 ,0.005 ,,0.029 ,0.030 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,0.003 ,0.001 ,,0.001 ,0.000 ,,0.013 ,0.036 ,
612,0.000 ,0.048 ,,,,0.045 ,,0.021 ,,0.003 ,,0.008 ,0.040 ,0.023 ,0.004 ,0.001 ,0.025 ,0.000 ,0.000 ,,0.006 ,0.006 ,0.009 ,0.003 ,0.010 ,0.017 ,,,,0.003 ,0.007 ,,,,,,,,,,0.012 ,0.020 ,,,,0.047 ,,,,,0.003 ,0.015 ,,,,,,,,,,0.010 ,0.001 ,0.011 ,0.000 ,0.003 ,0.001 ,0.001 ,0.001 ,0.038 ,0.003 ,0.030 ,0.001 ,0.008 ,0.001 ,0.007 ,0.005 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,,0.001 ,0.000 ,0.047 ,0.000 ,0.001 ,0.000 ,0.003 ,0.000 ,0.007 ,0.000 ,0.010 ,0.000 ,0.000 ,0.008 ,0.000 ,0.014 ,0.000 ,0.000 ,0.001 ,0.000 ,0.006 ,0.006 ,0.000 ,,0.000 ,0.000 ,0.012 ,,0.001 ,0.022 ,0.034 ,0.020 ,,,0.000 ,,0.003 ,0.012 ,,0.036 ,,,,0.010 ,,0.001 ,0.008 ,,,,,,,,,,,,,,0.029 ,,0.001 ,0.008 ,0.012 ,0.000 ,0.044 ,,,,0.024 ,,0.049 ,0.012 ,,,,0.035 ,,0.001 ,0.016 ,,,0.021 ,0.040 ,,0.013 ,0.020 ,,,0.000 ,,0.003 ,0.014 ,0.003 ,,0.038 ,0.024 ,0.000 ,0.000 ,,0.001 ,0.004 ,0.037 
656,0.046 ,0.000 ,,,0.000 ,0.001 ,0.002 ,0.000 ,0.000 ,0.033 ,0.000 ,0.000 ,0.000 ,0.000 ,,0.012 ,,,,,0.005 ,0.036 ,0.002 ,,,0.003 ,0.000 ,0.000 ,,0.000 ,0.047 ,,0.002 ,,0.001 ,,0.002 ,,0.007 ,,0.000 ,0.001 ,0.000 ,0.000 ,0.000 ,,0.001 ,0.001 ,0.000 ,0.000 ,,,,0.027 ,,0.039 ,,,0.013 ,0.000 ,0.002 ,0.042 ,0.000 ,0.000 ,0.000 ,0.000 ,0.005 ,0.000 ,0.000 ,,0.002 ,0.026 ,0.002 ,,,0.009 ,0.001 ,0.003 ,0.047 ,0.000 ,,,0.005 ,0.000 ,0.013 ,0.000 ,0.003 ,0.000 ,0.038 ,,0.001 ,,0.003 ,,0.023 ,0.001 ,0.002 ,0.000 ,0.000 ,0.032 ,0.036 ,0.002 ,0.001 ,0.000 ,0.013 
671,0.009 ,0.005 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.002 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.039 ,0.000 ,0.000 ,0.000 ,0.000 ,0.048 ,0.029 ,0.000 ,,,0.009 ,0.001 ,,,0.005 ,0.000 ,0.000 ,,0.014 ,0.043 ,0.005 ,0.001 ,,0.028 ,0.005 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.014 ,0.000 ,0.000 ,0.000 ,0.000 ,,,0.005 ,0.027 ,,,0.004 ,0.000 ,0.009 ,0.001 ,,,0.006 ,0.000 ,0.000 ,0.003 ,0.002 ,0.012 ,,0.040 ,0.002 ,0.000 ,0.001 ,0.002 ,0.003 ,,,0.001 ,0.000 ,0.000 ,0.007 ,0.000 ,0.000 ,,0.003 ,0.004 
679,,,0.007 ,0.027 ,0.018 ,0.005 ,0.000 ,0.003 ,,,0.004 ,0.001 ,0.027 ,0.000 ,,0.002 ,0.002 ,0.002 ,0.004 ,0.000 ,0.001 ,,,0.001 ,0.001 ,0.001 ,0.000 ,0.006 ,0.003 ,0.002 ,0.006 ,0.000 ,0.004 ,,,0.004 ,0.002 ,0.005 ,0.000 ,0.027 ,0.026 ,,0.000 ,,0.005 ,0.045 ,,,,0.036 ,,,0.000 ,0.004 ,0.003 ,,0.003 ,0.002 ,,0.000 ,,0.000 ,0.004 ,0.002 ,0.042 ,0.003 ,0.001 ,,0.000 ,0.000 ,0.043 ,0.005 ,,0.040 ,0.002 ,,0.004 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.003 ,0.025 ,,,,,,0.003 ,0.002 ,0.006 ,0.000 ,0.022 ,0.021 ,0.027 ,0.000 ,,,,,,0.022 
